#M. Wang et al., Chinese Physics C41, 030003, 2017
#  iz  ia   BE (keV)  error (keV)  in
  41  84   707133.188    13.020 1  43
  41  85   720265.438     4.080 1  44
  41  86   731191.062     5.504 1  45
  41  87   744002.875     6.786 1  46
  41  88   754373.312    58.784 1  47
  41  89   766896.250    23.674 1  48
  41  90   777003.812     3.330 1  49
  41  91   789051.688     2.912 1  50
  41  92   796938.250     1.748 1  51
  41  93   805769.062     1.488 1  52
  41  94   812996.750     1.504 1  53
  41  95   821485.125     0.475 1  54
  41  96   828373.000     0.192 1  55
  41  97   836447.312     4.268 1  56
  41  98   842437.500     4.998 1  57
  41  99   849319.562    11.979 1  58
  41 100   854852.938     8.000 1  59
  41 101   862018.312     3.737 1  60
  41 102   867502.625     2.550 1  61
  41 103   874298.125     3.914 1  62
  41 104   879159.750     2.704 1  63
  41 105   885327.688     3.990 1  64
  41 106   889686.750     4.134 1  65
  41 107   895278.500     8.025 1  66
  41 108   899171.812     8.208 1  67
  41 109   904387.188   258.439 1  68
  41 110   908078.562   838.310 1  69
  42  85   710713.125    15.810 1  43
  42  86   725385.000     3.698 1  44
  42  87   736230.875     2.871 1  45
  42  88   750103.938     3.784 1  46
  42  89   760503.625     3.916 1  47
  42  90   773732.562     3.420 1  48
  42  91   783840.125     6.279 1  49
  42  92   796511.188     0.184 1  50
  42  93   804581.062     0.186 1  51
  42  94   814259.312     0.188 1  52
  42  95   821628.375     0.095 1  53
  42  96   830782.750     0.096 1  54
  42  97   837603.875     0.194 1  55
  42  98   846246.438     0.196 1  56
  42  99   852171.875     0.198 1  57
  42 100   860466.188     0.300 1  58
  42 101   865864.438     0.303 1  59
  42 102   873981.938     8.262 1  60
  42 103   879447.812     9.270 1  61
  42 104   886908.375     8.944 1  62
  42 105   891966.875     9.030 1  63
  42 106   898835.562     9.116 1  64
  42 107   903324.000     9.202 1  65
  42 108   909599.625     9.180 1  66
  42 109   913580.938    11.227 1  67
  42 110   919528.875    24.200 1  68
  42 111   922997.438    12.543 1  69
  43  87   726253.750     4.176 1  44
  43  88   738316.312   149.072 1  45
  43  89   752101.188     3.827 1  46
  43  90   763502.375     0.990 1  47
  43  91   776835.625     2.366 1  48
  43  92   787845.938     3.128 1  49
  43  93   800597.688     1.023 1  50
  43  94   809221.188     4.042 1  51
  43  95   819155.562     5.035 1  52
  43  96   827027.125     5.184 1  53
  43  97   836501.312     4.074 1  54
  43  98   843780.375     3.332 1  55
  43  99   852747.438     0.891 1  56
  43 100   859511.812     1.400 1  57
  43 101   867906.688    24.038 1  58
  43 102   874206.312     9.180 1  59
  43 103   882308.562     9.785 1  60
  43 104   888279.562    24.856 1  61
  43 105   896137.500    35.280 1  62
  43 106   901694.875    12.296 1  63
  43 107   908740.000     8.667 1  64
  43 108   913984.188     8.748 1  65
  43 109   920415.375     9.701 1  66
  43 110   925238.438     9.460 1  67
  43 111   931299.875    10.545 1  68
  43 112   935605.562     5.488 1  69
  43 113   941229.438     3.390 1  70
  43 114   945089.500   433.200 1  71
  43 115   950880.625   789.475 1  72
  44  90   756879.062     3.690 1  46
  44  91   768306.438     2.184 1  47
  44  92   782439.125     2.760 1  48
  44  93   793425.938     2.046 1  49
  44  94   806864.125     3.102 1  50
  44  95   815809.625     9.500 1  51
  44  96   826503.562     0.192 1  52
  44  97   834615.062     2.716 1  53
  44  98   844790.750     6.468 1  54
  44  99   852262.500     0.297 1  55
  44 100   861935.938     0.300 1  56
  44 101   868737.875     0.404 1  57
  44 102   877957.500     0.408 1  58
  44 103   884189.625     0.412 1  59
  44 104   893089.562     2.496 1  60
  44 105   898999.562     2.520 1  61
  44 106   907459.688     5.406 1  62
  44 107   913070.188     8.667 1  63
  44 108   920940.250     8.640 1  64
  44 109   926088.688     8.938 1  65
  44 110   933494.188     8.910 1  66
  44 111   938278.250     9.657 1  67
  44 112   945195.125     9.632 1  68
  44 113   949503.812    36.838 1  69
  44 114   955928.750     3.534 1  70
  44 115   959967.875    88.550 1  71
  44 116   965918.375     3.712 1  72
  44 117   969410.688   433.134 1  73
  45  92   770354.625     4.416 1  47
  45  93   784438.750     2.604 1  48
  45  94   796405.812     3.384 1  49
  45  95   809910.188     3.895 1  50
  45  96   819328.625     9.984 1  51
  45  97   830309.688    35.502 1  52
  45  98   838958.688    11.858 1  53
  45  99   849436.125     6.732 1  54
  45 100   857517.188    18.100 1  55
  45 101   867409.812     5.858 1  56
  45 102   874852.125     6.426 1  57
  45 103   884171.812     2.266 1  58
  45 104   891170.750     2.288 1  59
  45 105   900133.938     2.520 1  60
  45 106   906716.625     5.406 1  61
  45 107   915289.000    12.091 1  62
  45 108   921528.375    14.040 1  63
  45 109   929567.438     4.033 1  64
  45 110   935467.938    17.820 1  65
  45 111   943015.000     6.882 1  66
  45 112   948513.438    44.128 1  67
  45 113   955620.812     7.119 1  68
  45 114   960635.125    71.592 1  69
  45 115   967225.688     7.360 1  70
  45 116   971803.375    73.776 1  71
  45 117   978035.875     8.892 1  72
  45 118   982097.312    24.190 1  73
  45 119   988103.812     9.282 1  74
  45 121   997673.938   619.399 1  76
  46  94   788818.062     4.324 1  48
  46  95   800753.125     3.040 1  49
  46  96   815041.875     4.224 1  50
  46  97   824735.688     4.850 1  51
  46  98   836322.125     4.704 1  52
  46  99   845255.062     4.950 1  53
  46 100   856356.625    17.600 1  54
  46 101   864647.312     4.545 1  55
  46 102   875189.562     0.510 1  56
  46 103   882814.938     0.927 1  57
  46 104   892824.125     1.352 1  58
  46 105   899918.312     1.155 1  59
  46 106   909479.188     1.060 1  60
  46 107   916015.625     1.177 1  61
  46 108   925238.500     1.080 1  62
  46 109   931392.125     1.090 1  63
  46 110   940187.812     0.660 1  64
  46 111   945914.125     0.777 1  65
  46 112   954321.062     6.496 1  66
  46 113   959662.000     6.893 1  67
  46 114   967633.125     6.954 1  68
  46 115   972639.875    13.570 1  69
  46 116   980116.500     7.076 1  70
  46 117   984780.688     7.254 1  71
  46 118   991816.188     2.478 1  72
  46 119   995906.688     8.211 1  73
  46 120  1002850.188     2.280 1  74
  46 121  1006823.875     3.388 1  75
  46 122  1013328.875    19.520 1  76
  46 123  1017213.875   789.414 1  77
  47  96   802587.875    90.048 1  49
  47  97   816973.312   110.095 1  50
  47  98   827285.188    32.928 1  51
  47  99   839002.688     6.237 1  52
  47 100   848499.438     5.000 1  53
  47 101   859767.125     4.848 1  54
  47 102   868750.750     8.160 1  55
  47 103   879378.062     4.120 1  56
  47 104   887763.125     4.264 1  57
  47 105   897788.875     4.515 1  58
  47 106   905731.688     2.968 1  59
  47 107   915267.312     2.354 1  60
  47 108   922538.750     2.376 1  61
  47 109   931722.750     1.308 1  62
  47 110   938531.938     1.320 1  63
  47 111   947361.375     1.443 1  64
  47 112   953801.000     2.464 1  65
  47 113   962315.375    16.611 1  66
  47 114   968290.750     4.560 1  67
  47 115   976413.812    18.285 1  68
  47 116   982045.250     3.248 1  69
  47 117   989755.875    13.572 1  70
  47 118   995198.875     2.478 1  71
  47 119  1002362.188    14.756 1  72
  47 120  1007439.250     4.440 1  73
  47 121  1014261.938    12.100 1  74
  47 122  1019036.438    38.186 1  75
  47 123  1025549.750    30.750 1  76
  47 124  1030273.250   251.472 1  77
  47 125  1036664.312   433.125 1  78
  48  98   821072.875    51.842 1  50
  48  99   831438.938     1.584 1  51
  48 100   843773.750     1.700 1  52
  48 101   853486.875     1.515 1  53
  48 102   865381.375     1.632 1  54
  48 103   874444.625     1.854 1  55
  48 104   885832.688     1.664 1  56
  48 105   894269.438     1.365 1  57
  48 106   905139.062     1.060 1  58
  48 107   913068.500     1.712 1  59
  48 108   923402.000     1.080 1  60
  48 109   930725.250     1.526 1  61
  48 110   940640.312     0.330 1  62
  48 111   947615.750     0.333 1  63
  48 112   957009.812     0.224 1  64
  48 113   963549.562     0.226 1  65
  48 114   972592.438     0.228 1  66
  48 115   978733.188     0.690 1  67
  48 116   987432.562     0.116 1  68
  48 117   993209.812     1.053 1  69
  48 118  1001564.438    19.942 1  70
  48 119  1006911.188    37.723 1  71
  48 120  1014962.812     3.720 1  72
  48 121  1020150.500     1.936 1  73
  48 122  1027760.375     2.318 1  74
  48 123  1032633.500     2.706 1  75
  48 124  1039992.375     2.976 1  76
  48 125  1044710.062     2.875 1  77
  48 126  1051690.125     2.520 1  78
  48 127  1056252.000    12.065 1  79
  48 128  1062817.750     7.296 1  80
  48 129  1066705.375    16.770 1  81
  48 130  1072836.125    22.360 1  82
  48 131  1075008.875   102.442 1  83
  49 100   833109.688   182.500 1  51
  49 102   855634.250     4.590 1  53
  49 103   867643.250     9.579 1  54
  49 104   877264.688     5.824 1  55
  49 105   888793.938    10.290 1  56
  49 106   897832.750    12.190 1  57
  49 107   908860.312    11.128 1  58
  49 108   917487.125     8.640 1  59
  49 109   927928.062     3.924 1  60
  49 110   935979.875    11.550 1  61
  49 111   945973.312     3.441 1  62
  49 112   953642.688     4.256 1  63
  49 113   963090.938     0.226 1  64
  49 114   970364.875     0.342 1  65
  49 115   979402.750     0.000 1  66
  49 116   986187.625     0.232 1  67
  49 117   994952.250     4.914 1  68
  49 118  1001308.688     7.788 1  69
  49 119  1009850.938     7.259 1  70
  49 120  1015951.375    39.960 1  71
  49 121  1024130.312    27.467 1  72
  49 122  1029938.438    50.020 1  73
  49 123  1037867.375    19.803 1  74
  49 124  1043378.500    30.628 1  75
  49 125  1051056.500    27.000 1  76
  49 126  1056424.000    26.964 1  77
  49 127  1063618.500    21.209 1  78
  49 128  1068939.500   153.472 1  79
  49 129  1075702.625     2.709 1  80
  49 130  1080819.500    38.090 1  81
  49 131  1087032.625     2.751 1  82
  49 132  1089490.375    60.060 1  83
  50 100   825297.375   301.500 1  50
  50 101   836391.250   299.970 1  51
  50 102   849091.812   100.062 1  52
  50 103   859200.938    70.658 1  53
  50 104   871926.750     5.720 1  54
  50 105   881708.875     3.990 1  55
  50 106   893796.062     5.088 1  56
  50 107   903025.875     5.350 1  57
  50 108   914654.938     5.400 1  58
  50 109   923286.438     7.957 1  59
  50 110   934569.562    13.750 1  60
  50 111   942737.438     5.328 1  61
  50 112   953525.250     0.336 1  62
  50 113   961269.562     1.582 1  63
  50 114   971572.562     0.000 1  64
  50 115   979118.000     0.000 1  65
  50 116   988681.500     0.116 1  66
  50 117   995624.500     0.468 1  67
  50 118  1004950.938     0.472 1  68
  50 119  1011434.438     0.714 1  69
  50 120  1020539.062     0.840 1  70
  50 121  1026709.312     0.968 1  71
  50 122  1035524.688     2.440 1  72
  50 123  1041470.938     2.460 1  73
  50 124  1049960.250     0.992 1  74
  50 125  1055693.750     1.000 1  75
  50 126  1063884.000    10.458 1  76
  50 127  1069410.750    10.033 1  77
  50 128  1077373.250    17.664 1  78
  50 129  1082673.625    17.286 1  79
  50 130  1090286.125     1.820 1  80
  50 131  1095489.625     3.668 1  81
  50 132  1102843.125     1.980 1  82
  50 133  1105241.750     1.862 1  83
  50 134  1108872.875     3.216 1  84
  50 135  1111142.625     3.105 1  85
  51 104   858690.938   122.408 1  53
  51 105   871604.188    21.840 1  54
  51 106   882133.250     7.420 1  55
  51 107   894384.562     4.173 1  56
  51 108   904247.938     5.508 1  57
  51 109   916124.875     5.232 1  58
  51 110   925394.875     5.940 1  59
  51 111   936853.312     8.880 1  60
  51 112   945686.750    17.808 1  61
  51 113   956576.125    17.176 1  62
  51 114   964727.000    21.888 1  63
  51 115   975305.250    15.985 1  64
  51 116   983195.250     5.104 1  65
  51 117   993084.000     8.424 1  66
  51 118  1000512.000     3.068 1  67
  51 119  1010061.312     7.735 1  68
  51 120  1017076.188     7.200 1  69
  51 121  1026330.062     2.541 1  70
  51 122  1033136.375     2.562 1  71
  51 123  1042096.375     1.476 1  72
  51 124  1048563.875     1.488 1  73
  51 125  1057271.250     2.625 1  74
  51 126  1063479.625    31.752 1  75
  51 127  1071857.125     5.080 1  76
  51 128  1077859.250    19.072 1  77
  51 129  1085929.375    21.285 1  78
  51 130  1091657.250    14.170 1  79
  51 131  1099424.250     2.096 1  80
  51 132  1105149.375     2.508 1  81
  51 133  1112508.875     3.192 1  82
  51 134  1115677.375     1.742 1  83
  51 135  1119418.500     2.700 1  84
  51 136  1122306.250     5.848 1  85
  51 137  1125931.125    52.197 1  86
  51 138  1128162.500  1064.256 1  87
  52 105   859617.750   299.985 1  53
  52 106   873097.250   100.488 1  54
  52 107   883488.250    70.834 1  55
  52 108   896801.812     5.400 1  56
  52 109   906807.000     4.360 1  57
  52 110   919392.688     6.600 1  58
  52 111   928821.688     6.438 1  59
  52 112   940873.062     8.400 1  60
  52 113   949723.812    27.911 1  61
  52 114   961336.750    27.930 1  62
  52 115   969582.312    27.945 1  63
  52 116   980859.625    27.956 1  64
  52 117   988757.500    13.455 1  65
  52 118   999430.062    18.526 1  66
  52 119  1006985.875     7.973 1  67
  52 120  1017244.125     3.120 1  68
  52 121  1024492.812    25.894 1  69
  52 122  1034333.062     1.464 1  70
  52 123  1041262.125     1.476 1  71
  52 124  1050686.625     1.488 1  72
  52 125  1057255.625     1.500 1  73
  52 126  1066369.250     1.512 1  74
  52 127  1072657.000     1.524 1  75
  52 128  1081440.250     0.896 1  76
  52 129  1087522.750     0.903 1  77
  52 130  1095942.125     0.000 1  78
  52 131  1101871.625     0.131 1  79
  52 132  1109920.125     3.432 1  80
  52 133  1115740.375     2.128 1  81
  52 134  1123408.125     2.680 1  82
  52 135  1126674.625     1.755 1  83
  52 136  1131442.250     2.312 1  84
  52 137  1134392.250     2.055 1  85
  52 138  1138855.750     3.726 1  86
  52 139  1141436.250     3.475 1  87
  52 140  1145878.625    62.440 1  88
  53 108   882887.438   132.300 1  55
  53 109   895981.688     6.758 1  56
  53 110   906844.750    50.600 1  57
  53 111   919405.625     4.773 1  58
  53 112   929586.438    10.192 1  59
  53 113   941714.000     8.023 1  60
  53 115   963074.938    28.865 1  62
  53 116   972300.688    96.628 1  63
  53 117   983315.875    26.208 1  64
  53 118   991922.188    19.706 1  65
  53 119  1002787.875    27.965 1  66
  53 120  1010846.625    15.360 1  67
  53 121  1021416.438     5.324 1  68
  53 122  1029316.875     5.246 1  69
  53 123  1039251.375     3.690 1  70
  53 124  1046744.688     2.356 1  71
  53 125  1056287.500     1.500 1  72
  53 126  1063433.000     3.780 1  73
  53 127  1072576.875     3.683 1  74
  53 128  1079403.000     3.584 1  75
  53 129  1088242.750     3.225 1  76
  53 130  1094743.000     3.120 1  77
  53 131  1103320.875     0.655 1  78
  53 132  1109653.000     4.092 1  79
  53 133  1117879.125     6.384 1  80
  53 134  1124135.500     4.824 1  81
  53 135  1131942.625     2.025 1  82
  53 136  1135780.000    14.144 1  83
  53 137  1140662.250     8.357 1  84
  53 138  1144357.375     5.934 1  85
  53 139  1148919.750     4.031 1  86
  53 140  1152126.125    12.040 1  87
  53 141  1156518.000    15.792 1  88
  53 142  1159432.750   374.454 1  89
  54 109   883696.375   300.077 1  55
  54 110   897520.750   100.980 1  56
  54 111   908065.062    86.691 1  57
  54 112   921767.250     8.288 1  58
  54 113   932015.750     6.893 1  59
  54 114   944969.375    11.172 1  60
  54 115   954611.500    12.075 1  61
  54 116   967072.750    12.992 1  62
  54 117   976282.750    10.413 1  63
  54 118   988247.812    10.384 1  64
  54 119   997034.500    10.353 1  65
  54 120  1008483.750    11.760 1  66
  54 121  1016863.688    10.285 1  67
  54 122  1027809.000    11.102 1  68
  54 123  1035774.000     9.594 1  69
  54 124  1046258.125     1.736 1  70
  54 125  1053861.250     1.875 1  71
  54 126  1063886.125     3.528 1  72
  54 127  1071132.125     4.064 1  73
  54 128  1080742.125     1.024 1  74
  54 129  1087649.250     0.000 1  75
  54 130  1096905.125     0.000 1  76
  54 131  1103509.500     0.000 1  77
  54 132  1112446.125     0.000 1  78
  54 133  1118882.125     2.394 1  79
  54 134  1127435.750     0.000 1  80
  54 135  1133794.250     3.780 1  81
  54 136  1141881.625     0.000 1  82
  54 137  1145907.250     0.137 1  83
  54 138  1151567.250     2.760 1  84
  54 139  1155311.000     2.085 1  85
  54 140  1160724.125     2.380 1  86
  54 141  1164006.375     2.820 1  87
  54 142  1169110.000     2.698 1  88
  54 143  1172154.500     4.719 1  89
  54 144  1176895.250     5.328 1  90
  54 145  1179587.625    11.165 1  91
  54 146  1184120.625    24.236 1  92
  55 112   907248.750    86.800 1  57
  55 113   920794.312     8.588 1  58
  55 114   931783.312    71.136 1  59
  55 117   967808.125    62.361 1  62
  55 118   977795.688    12.744 1  63
  55 119   989762.750    13.923 1  64
  55 120   999417.625     9.960 1  65
  55 121  1010702.625    14.278 1  66
  55 122  1019816.438    33.672 1  67
  55 123  1030786.625    12.054 1  68
  55 124  1039545.500     8.308 1  69
  55 125  1049973.500     7.750 1  70
  55 126  1058307.750    10.458 1  71
  55 127  1068268.375     5.588 1  72
  55 128  1076031.125     5.504 1  73
  55 129  1085670.000     4.515 1  74
  55 130  1093142.000     8.320 1  75
  55 131  1102372.250     4.978 1  76
  55 132  1109537.500     1.056 1  77
  55 133  1118527.000     0.000 1  78
  55 134  1125418.625     0.000 1  79
  55 135  1134180.375     0.945 1  80
  55 136  1141008.625     1.904 1  81
  55 137  1149287.000     0.411 1  82
  55 138  1153699.500     9.108 1  83
  55 139  1159585.000     3.197 1  84
  55 140  1164005.500     8.260 1  85
  55 141  1169504.250     9.165 1  86
  55 142  1173612.500     7.100 1  87
  55 143  1178844.750     7.579 1  88
  55 144  1182512.000    20.160 1  89
  55 145  1187366.250     9.135 1  90
  55 146  1190693.625     2.920 1  91
  55 147  1195374.625     8.379 1  92
  55 148  1198436.750    13.024 1  93
  56 114   922224.188   102.714 1  58
  56 117   957990.500   250.380 1  61
  56 119   981265.375   200.277 1  63
  56 120   993635.250   300.120 1  64
  56 121  1003562.750   141.933 1  65
  56 122  1015498.188    27.938 1  66
  56 123  1024615.562    12.054 1  67
  56 124  1036121.750    12.524 1  68
  56 125  1044772.188    11.000 1  69
  56 126  1055844.500    12.474 1  70
  56 127  1064063.750    11.303 1  71
  56 128  1074695.625     5.248 1  72
  56 129  1082451.625    10.578 1  73
  56 130  1092721.375     2.600 1  74
  56 131  1100214.875     2.620 1  75
  56 132  1110037.500     1.056 1  76
  56 133  1117227.375     0.931 1  77
  56 134  1126694.875     0.268 1  78
  56 135  1133667.000     0.270 1  79
  56 136  1142774.625     0.272 1  80
  56 137  1149680.375     0.274 1  81
  56 138  1158292.000     0.276 1  82
  56 139  1163015.250     0.278 1  83
  56 140  1169442.375     7.980 1  84
  56 141  1173977.000     5.358 1  85
  56 142  1180157.875     5.964 1  86
  56 143  1184324.125     6.721 1  87
  56 144  1190225.375     7.200 1  88
  56 145  1194045.750     8.410 1  89
  56 146  1199548.000    20.878 1  90
  56 147  1202936.375    19.698 1  91
  56 148  1208337.250    63.048 1  92
  56 149  1211935.125   437.762 1  93
  57 124  1026508.188    56.668 1  67
  57 125  1038080.312    26.000 1  68
  57 126  1047365.625    90.468 1  69
  57 127  1058359.625    26.035 1  70
  57 128  1067160.375    54.400 1  71
  57 129  1077930.625    21.414 1  72
  57 130  1086304.875    26.000 1  73
  57 131  1096518.125    27.903 1  74
  57 132  1104543.750    36.300 1  75
  57 133  1114385.875    27.930 1  76
  57 134  1122181.375    19.966 1  77
  57 135  1131677.375     9.450 1  78
  57 136  1139142.750    53.176 1  79
  57 137  1148317.375     1.644 1  80
  57 138  1155767.250     3.174 1  81
  57 139  1164545.500     1.946 1  82
  57 140  1169706.500     1.960 1  83
  57 141  1176393.625     4.230 1  84
  57 142  1181557.625     6.248 1  85
  57 143  1187776.125     7.293 1  86
  57 144  1192525.625    12.960 1  87
  57 145  1198582.625    12.325 1  88
  57 146  1202868.875    33.580 1  89
  57 147  1208568.250    10.731 1  90
  57 148  1212670.000    19.536 1  91
  57 149  1218252.500   200.256 1  92
  57 150  1222233.750   435.450 1  93
  57 151  1227485.500   435.484 1  94
  58 126  1042430.375    27.972 1  68
  58 127  1051660.500    28.829 1  69
  58 128  1063286.375    27.904 1  70
  58 129  1072111.375    27.993 1  71
  58 130  1083318.000    27.950 1  72
  58 131  1091675.000    32.750 1  73
  58 132  1102508.625    20.460 1  74
  58 133  1110527.250    16.359 1  75
  58 134  1121013.375    20.368 1  76
  58 135  1128867.875    10.260 1  77
  58 136  1138831.375     0.408 1  78
  58 137  1146313.000     0.411 1  79
  58 138  1156036.625     4.968 1  80
  58 139  1163484.875     7.228 1  81
  58 140  1172684.375     1.540 1  82
  58 141  1178112.500     1.551 1  83
  58 142  1185284.125     2.556 1  84
  58 143  1190428.875     2.574 1  85
  58 144  1197325.375     2.880 1  86
  58 145  1202031.875    33.930 1  87
  58 146  1208671.750    16.352 1  88
  58 147  1213121.500     8.526 1  89
  58 148  1219577.250    11.248 1  90
  58 149  1223920.000    10.281 1  91
  58 150  1230168.250    11.700 1  92
  58 151  1234617.750    17.667 1  93
  59 128  1053300.875    29.824 1  69
  59 129  1064815.000    29.799 1  70
  59 130  1074288.250    64.220 1  71
  59 131  1085484.625    47.029 1  72
  59 132  1094482.875    28.908 1  73
  59 133  1105264.250    12.502 1  74
  59 134  1113926.000    20.368 1  75
  59 135  1124405.250    11.880 1  76
  59 136  1132881.000    11.424 1  77
  59 137  1142813.750     8.083 1  78
  59 138  1150817.125    11.178 1  79
  59 139  1160573.500     7.784 1  80
  59 140  1168514.125     6.160 1  81
  59 141  1177912.875     1.692 1  82
  59 142  1183756.000     1.704 1  83
  59 143  1191108.125     1.859 1  84
  59 144  1196861.750     2.736 1  85
  59 145  1203808.375     7.105 1  86
  59 146  1208934.875    34.748 1  87
  59 147  1215769.250    15.876 1  88
  59 148  1220931.875    15.096 1  89
  59 149  1227507.125     9.834 1  90
  59 150  1232839.625     9.000 1  91
  59 151  1239390.000    11.627 1  92
  59 152  1244439.750    18.544 1  93
  59 153  1250321.500    11.934 1  94
  59 154  1254929.375   113.036 1  95
  59 155  1260311.000    17.205 1  96
  60 130  1068926.625    27.950 1  70
  60 131  1078169.750    27.510 1  71
  60 132  1089898.875    24.156 1  72
  60 133  1098876.750    46.550 1  73
  60 134  1110262.125    11.792 1  74
  60 135  1118900.750    19.170 1  75
  60 136  1129957.625    11.832 1  76
  60 137  1138414.250    11.782 1  77
  60 138  1148919.250    11.592 1  78
  60 139  1156986.125    27.661 1  79
  60 140  1167302.500     3.500 1  80
  60 141  1175307.625     3.243 1  81
  60 142  1185136.250     1.420 1  82
  60 143  1191259.875     1.430 1  83
  60 144  1199076.750     1.296 1  84
  60 145  1204832.000     1.450 1  85
  60 146  1212397.375     1.314 1  86
  60 147  1217689.625     1.323 1  87
  60 148  1225022.125     2.072 1  88
  60 149  1230060.875     2.086 1  89
  60 150  1237436.625     1.350 1  90
  60 151  1242771.125     1.359 1  91
  60 152  1250048.750    24.472 1  92
  60 153  1255301.000     2.754 1  93
  60 154  1261867.125    52.668 1  94
  60 155  1266397.125     9.145 1  95
  60 156  1272658.250   199.992 1  96
  60 157  1276717.500    24.963 1  97
  61 133  1091169.625    50.274 1  72
  61 134  1100572.125    57.754 1  73
  61 135  1111956.750    75.465 1  74
  61 136  1121145.875    69.088 1  75
  61 137  1132120.250    13.015 1  76
  61 138  1141059.125    27.738 1  77
  61 139  1151690.500    13.622 1  78
  61 140  1160475.000    24.220 1  79
  61 141  1170855.625    13.959 1  80
  61 142  1179546.000    23.572 1  81
  61 143  1189435.875     3.003 1  82
  61 144  1195962.625     3.024 1  83
  61 145  1203885.250     2.900 1  84
  61 146  1210143.500     4.380 1  85
  61 147  1217802.750     1.470 1  86
  61 148  1223697.375     5.772 1  87
  61 149  1230967.375     2.235 1  88
  61 150  1236571.375    20.100 1  89
  61 151  1244431.750     4.681 1  90
  61 152  1250371.250    25.840 1  91
  61 153  1257836.250     9.027 1  92
  61 154  1263771.625    46.354 1  93
  61 155  1270270.875     4.650 1  94
  61 156  1275566.000     3.588 1  95
  61 157  1281770.750     7.065 1  96
  61 158  1286634.125    13.430 1  97
  61 159  1292170.625    10.017 1  98
  62 135  1103979.500   154.575 1  73
  62 136  1116004.625    12.512 1  74
  62 137  1125291.375    42.333 1  75
  62 138  1136834.000    11.868 1  76
  62 139  1145787.875    10.842 1  77
  62 140  1156934.875    12.460 1  78
  62 141  1165484.125     8.601 1  79
  62 142  1176608.000     3.124 1  80
  62 143  1185210.000     2.860 1  81
  62 144  1195729.750     1.584 1  82
  62 145  1202486.875     1.595 1  83
  62 146  1210903.125     3.066 1  84
  62 147  1217244.500     1.323 1  85
  62 148  1225385.625     1.332 1  86
  62 149  1231256.375     1.341 1  87
  62 150  1239243.125     1.350 1  88
  62 151  1244839.625     1.208 1  89
  62 152  1253097.250     1.216 1  90
  62 153  1258965.750     1.224 1  91
  62 154  1266932.625     1.386 1  92
  62 155  1272739.500     1.550 1  93
  62 156  1279980.500     8.580 1  94
  62 157  1285368.875     4.396 1  95
  62 158  1292012.875     4.898 1  96
  62 159  1297041.750     5.883 1  97
  62 160  1303140.000     5.920 1  98
  62 161  1307648.625     6.762 1  99
  63 137  1116628.500     4.384 1  74
  63 138  1126303.625    27.876 1  75
  63 139  1138023.250    13.205 1  76
  63 140  1147682.500    51.520 1  77
  63 141  1158693.375    12.690 1  78
  63 142  1168152.625    30.104 1  79
  63 143  1179151.875    11.011 1  80
  63 144  1188600.875    10.800 1  81
  63 145  1199044.750     3.045 1  82
  63 146  1206242.000     5.986 1  83
  63 147  1214740.500     2.646 1  84
  63 148  1221566.375    10.064 1  85
  63 149  1229779.500     4.023 1  86
  63 150  1236201.875     6.300 1  87
  63 151  1244133.875     1.359 1  88
  63 152  1250440.625     1.368 1  89
  63 153  1258991.000     1.377 1  90
  63 154  1265433.000     1.386 1  91
  63 155  1273584.500     1.395 1  92
  63 156  1279920.250     3.588 1  93
  63 157  1287367.750     4.239 1  94
  63 158  1293235.500    10.270 1  95
  63 159  1300094.750     4.293 1  96
  63 160  1305603.375     9.440 1  97
  63 161  1311985.750    10.465 1  98
  63 162  1316969.000    35.154 1  99
  63 163  1322821.750    65.526 1 100
  64 140  1141696.500    28.000 1  76
  64 141  1151209.750    19.740 1  77
  64 142  1163016.375    27.974 1  78
  64 143  1172359.500   200.343 1  79
  64 144  1183958.875    27.936 1  80
  64 145  1193197.250    19.720 1  81
  64 146  1204427.875     4.088 1  82
  64 147  1211770.375     1.911 1  83
  64 148  1220754.000     1.628 1  84
  64 149  1227683.125     3.427 1  85
  64 150  1236391.375     6.150 1  86
  64 151  1242887.500     3.020 1  87
  64 152  1251477.000     1.216 1  88
  64 153  1257724.000     1.224 1  89
  64 154  1266618.625     1.232 1  90
  64 155  1273053.875     1.240 1  91
  64 156  1281590.250     1.248 1  92
  64 157  1287950.125     1.256 1  93
  64 158  1295887.500     1.264 1  94
  64 159  1301830.625     1.113 1  95
  64 160  1309282.250     1.280 1  96
  64 161  1314917.750     1.610 1  97
  64 162  1321763.750     4.050 1  98
  64 163  1326868.375     8.476 1  99
  65 140  1129614.000   800.520 1  75
  65 141  1141744.000   105.327 1  76
  65 142  1151834.000   700.628 1  77
  65 143  1163765.000    51.194 1  78
  65 144  1173785.375    27.936 1  79
  65 145  1185876.875   109.185 1  80
  65 146  1195323.375    44.822 1  81
  65 147  1206373.750     8.085 1  82
  65 148  1214239.500    12.432 1  83
  65 149  1223262.500     3.725 1  84
  65 150  1230950.625     7.350 1  85
  65 151  1239539.875     4.077 1  86
  65 152  1246704.625    39.976 1  87
  65 153  1255372.375     3.978 1  88
  65 154  1262286.625    45.276 1  89
  65 155  1271451.625     9.920 1  90
  65 156  1278363.625     3.744 1  91
  65 157  1287107.625     1.256 1  92
  65 158  1293886.125     1.422 1  93
  65 159  1302019.125     1.272 1  94
  65 160  1308394.375     1.280 1  95
  65 161  1316091.125     1.288 1  96
