#M. Wang et al., Chinese Physics C41, 030003, 2017
#  iz  ia   BE (keV)  error (keV)  in
  13  37   278658.656   180.227 1  24
  13  38   280329.688   374.452 1  25
  14  24   172013.562    19.464 1  10
  14  25   187002.750    10.000 1  11
  14  26   206042.406     0.104 1  12
  14  27   219357.203     0.108 1  13
  14  28   236536.844     0.000 1  14
  14  29   245010.406     0.000 1  15
  14  30   255619.625     0.030 1  16
  14  31   262207.031     0.031 1  17
  14  32   271406.969     0.288 1  18
  14  33   275914.938     0.693 1  19
  14  34   283428.781    14.110 1  20
  14  35   285934.719    35.840 1  21
  14  36   292050.688    71.784 1  22
  14  37   294257.406   113.812 1  23
  14  38   299927.500   104.804 1  24
  14  39   301508.188   135.525 1  25
  14  40   306470.156   345.120 1  26
  14  41   307851.500   554.689 1  27
  15  27   206912.828    26.352 1  12
  15  28   221409.406     1.148 1  13
  15  29   239285.859     0.348 1  14
  15  30   250605.172     0.060 1  15
  15  31   262916.188     0.000 1  16
  15  32   270851.844     0.032 1  17
  15  33   280955.594     1.089 1  18
  15  34   287238.281     0.816 1  19
  15  35   295618.719     1.855 1  20
  15  36   299083.250    13.104 1  21
  15  37   305899.531    37.962 1  22
  15  38   309596.406    72.580 1  23
  15  39   315820.812   112.632 1  24
  15  40   319231.844   153.600 1  25
  15  41   324168.594   120.171 1  26
  15  42   326250.375   314.370 1  27
  15  43   330651.594   554.700 1  28
  16  28   209406.125   159.992 1  12
  16  29   224707.078    49.996 1  13
  16  30   243681.219     0.210 1  14
  16  31   256735.797     0.217 1  15
  16  32   271780.125     0.000 1  16
  16  33   280421.781     0.000 1  17
  16  34   291838.938     0.034 1  18
  16  35   298824.750     0.035 1  19
  16  36   308714.000     0.180 1  20
  16  37   313017.594     0.185 1  21
  16  38   321053.719     7.182 1  22
  16  39   325426.469    49.998 1  23
  16  40   333173.000     4.000 1  24
  16  41   337415.031     4.100 1  25
  16  42   344115.500     2.814 1  26
  16  43   346744.562     4.988 1  27
  16  44   351824.656     5.236 1  28
  16  45   354681.312  1035.360 1  29
  17  29   207606.125   188.674 1  12
  17  31   243945.484     3.441 1  14
  17  32   258316.922     0.576 1  15
  17  33   274056.906     0.396 1  16
  17  34   285564.969     0.034 1  17
  17  35   298209.750     0.035 1  18
  17  36   306789.500     0.036 1  19
  17  37   317100.406     0.037 1  20
  17  38   323208.281     0.114 1  21
  17  39   331281.688     1.716 1  22
  17  40   337110.594    32.080 1  23
  17  41   344931.312    68.716 1  24
  17  42   350527.188    59.598 1  25
  17  43   357926.250    61.877 1  26
  17  44   362222.625   136.312 1  27
  17  45   368171.906   136.170 1  28
  17  46   371840.094   208.656 1  29
  18  30   207126.125   206.160 1  12
  18  32   246400.250     1.760 1  14
  18  33   261655.516     0.396 1  15
  18  34   278720.844     0.068 1  16
  18  35   291461.125     0.665 1  17
  18  36   306716.719     0.036 1  18
  18  37   315504.125     0.222 1  19
  18  38   327342.656     0.190 1  20
  18  39   333941.312     4.992 1  21
  18  40   343810.344     0.000 1  22
