   1    2    3    0.8808
  48   72  120    0.0054
  49   57  106    0.0191
  49   58  107    0.0183
  49   59  108    0.0196
  49   60  109    0.0191
  49   61  110    0.0171
  49   62  111    0.0171
  49   63  112    0.0165
  49   64  113    0.0154
  49   65  114    0.0149
  49   66  115    0.0146
  49   67  116    0.0155
  49   68  117    0.0136
  49   69  118    0.0124
  49   70  119    0.0115
  49   71  120    0.0108
  49   72  121    0.0098
  49   73  122    0.0091
  49   74  123    0.0089
  49   75  124    0.0091
  49   76  125    0.0076
  49   77  126    0.0077
  49   78  127    0.0063
  50   60  110    0.0180
  50   61  111    0.0157
  50   62  112    0.0163
  50   63  113    0.0179
  50   64  114    0.0151
  50   65  115    0.0133
  50   66  116    0.0151
  50   67  117    0.0154
  50   68  118    0.0143
  50   69  119    0.0136
  50   70  120    0.0126
  50   71  121    0.0128
  50   72  122    0.0115
  50   73  123    0.0099
  50   74  124    0.0101
  50   75  125    0.0100
  50   76  126    0.0098
  50   77  127    0.0102
  50   78  128    0.0088
  50   79  129    0.0067
  50   80  130    0.0098
  50   81  131    0.0144
  50   82  132    0.0074
  51   72  123    0.0077
  52   66  118    0.0109
  52   68  120    0.0082
  52   70  122    0.0057
  52   72  124    0.0088
  52   73  125    0.0087
  52   74  126    0.0083
  52   76  128    0.0080
  52   78  130    0.0077
  52   80  132    0.0077
  52   82  134    0.0069
  52   84  136    0.0246
  54   64  118    0.0176
  54   66  120    0.0122
  54   68  122    0.0081
  54   70  124    0.0071
  54   72  126    0.0061
  54   74  128    0.0052
  54   75  129    0.0028
  54   76  130    0.0044
  54   77  131    0.0033
  54   78  132    0.0041
  54   79  133    0.0023
  54   80  134    0.0040
  54   82  136    0.0065
  54   84  138    0.0315
  54   85  139    0.0315
  54   86  140    0.0287
  54   87  141    0.0285
  54   88  142    0.0275
  54   89  143    0.0248
  54   90  144    0.0241
  54   92  146    0.0233
  55   65  120    0.0083
  55   66  121   -0.0127
  55   67  122   -0.0142
  55   68  123    0.0051
  55   69  124    0.0055
  55   70  125    0.0060
  55   71  126    0.0044
  55   72  127    0.0056
  55   73  128    0.0049
  55   74  129    0.0045
  55   75  130    0.0071
  55   76  131    0.0045
  55   77  132    0.0010
  55   78  133    0.0015
  55   79  134    0.0029
  55   80  135    0.0026
  55   81  136    0.0028
  55   82  137    0.0061
  55   83  138    0.0196
  55   84  139    0.0294
  55   85  140    0.0299
