  18  14  32   3.3468  0.0062                    32,14,-0.375,0.038,3.3468,0.0062
  18  15  33   3.3438  0.0058                    33,15,-0.395,0.021,3.3438,0.0058
  18  16  34   3.3654  0.0040                    34,16,-0.251,0.006,3.3654,0.0040
  18  17  35   3.3636  0.0042                    35,17,-0.263,0.026,3.3636,0.0042
  18  18  36   3.3905  0.0023                    36,18,-0.084,0.018,3.3905,0.0023
  18  19  37   3.3908  0.0022                    37,19,-0.081,0.009,3.3908,0.0022
  18  20  38   3.4028  0.0019                    38,20,0,0,3.4028,0.0019
  18  21  39   3.4093  0.0031                    39,21,0.044,0.067,3.4093,0.0031
  18  22  40   3.4274  0.0026                    40,22,0.167,0.009,3.4274,0.0026
  18  23  41   3.4251  0.0030                    41,23,0.151,0.012,3.4251,0.0030
  18  24  42   3.4414  0.0041                    42,24,0.262,0.012,3.4414,0.0041
  18  25  43   3.4354  0.0039                    43,25,0.221,0.014,3.4354,0.0039
  18  26  44   3.4454  0.0046                    44,26,0.289,0.009,3.4454,0.0046
  18  28  46   3.4377  0.0044                    46,28,0.237,0.022,3.4377,0.0044
  19  18  37   3.4189  0.0298                    37,18,-0.163,0.203,3.4189,0.0298
  19  19  38   3.4243  0.0260                    38,19,-0.126,0.177,3.4243,0.0260
  19  20  39   3.4373  0.0224                    39,20,0,0.153,3.4373,0.0224
  19  21  40   3.4331  0.0191                    40,21,-0.066,0.130,3.4331,0.0191
  19  22  41   3.4479  0.0161                    41,22,0.036,0.109,3.4479,0.0161
  19  23  42   3.4476  0.0132                    42,23,0.034,0.089,3.4476,0.0132
  19  24  43   3.4501  0.0105                    43,24,0.049,0.072,3.4501,0.0105
  19  25  44   3.4479  0.0078                    44,25,0.036,0.051,3.4479,0.0078
  19  26  45   3.4535  0.0058                    45,26,0.072,0.039,3.4535,0.0058
  19  27  46   3.4424  0.0034                    46,27,-0.002,0.016,3.4424,0.0034
  19  28  47   3.4427  0.0025                    47,28,0,0.000,3.4427,0.0025
  19  29  48   3.4696  0.0034                    48,29,0.186,0.016,3.4696,0.0034
  19  30  49   3.4920  0.0052                    49,30,0.342,0.032,3.4920,0.0052
  19  31  50   3.5052  0.0072                    50,31,0.434,0.048,3.5052,0.0072
  19  32  51   3.5201  0.0091                    51,32,0.538,0.062,3.5201,0.0091
  20  19  39   3.4595  0.0097                    39,19,-0.127,0.016,3.4595,0.0097
  20  20  40   3.4778  0.0012                    40,20,0,0,3.4778,0.0012
  20  21  41   3.4782  0.0047                    41,21,0.003,0.003,3.4782,0.0047
  20  22  42   3.5086  0.0054                    42,22,0.215,0.005,3.5086,0.0054
  20  23  43   3.4942  0.0051                    43,23,0.114,0.004,3.4942,0.0051
  20  24  44   3.5189  0.0047                    44,24,0.288,0.002,3.5189,0.0047
  20  25  45   3.4957  0.0049                    45,25,0.125,0.003,3.4957,0.0049
  20  26  46   3.4957  0.0048                    46,26,0.125,0.002,3.4957,0.0048
  20  27  47   3.4781  0.0050                    47,27,0.002,0.003,3.4781,0.0050
  20  28  48   3.4779  0.0050                    48,28,0.001,0.003,3.4779,0.0050
  20  29  49   3.4918  0.0053                    49,29,0.098,0.004,3.4918,0.0053
  20  30  50   3.5194  0.0051                    50,30,0.291,0.003,3.5194,0.0051
